Borough_Name,Code,Crime_type,Year,Month,No_of_crimes
SUTTON,E09000029,Weapon_Related_Crimes,2012,2,0
TOWER HAMLETS,E09000030,Weapon_Related_Crimes,2012,2,3
WALTHAM FOREST,E09000031,Weapon_Related_Crimes,2012,2,4
WANDSWORTH,E09000032,Weapon_Related_Crimes,2012,2,6
WESTMINSTER,E09000033,Weapon_Related_Crimes,2012,2,3
BARKING AND DAGENHAM,E09000002,Miscellaneous_Crimes,2012,2,118
BARNET,E09000003,Miscellaneous_Crimes,2012,2,168
BEXLEY,E09000004,Miscellaneous_Crimes,2012,2,132
BRENT,E09000005,Miscellaneous_Crimes,2012,2,196
BROMLEY,E09000006,Miscellaneous_Crimes,2012,2,197
CAMDEN,E09000007,Miscellaneous_Crimes,2012,2,174
CROYDON,E09000008,Miscellaneous_Crimes,2012,2,226
EALING,E09000009,Miscellaneous_Crimes,2012,2,215
ENFIELD,E09000010,Miscellaneous_Crimes,2012,2,187
GREENWICH,E09000011,Miscellaneous_Crimes,2012,2,187
HACKNEY,E09000012,Miscellaneous_Crimes,2012,2,157
HAMMERSMITH AND FULHAM,E09000013,Miscellaneous_Crimes,2012,2,138
HARINGEY,E09000014,Miscellaneous_Crimes,2012,2,173
HARROW,E09000015,Miscellaneous_Crimes,2012,2,107
HAVERING,E09000016,Miscellaneous_Crimes,2012,2,144
HILLINGDON,E09000017,Miscellaneous_Crimes,2012,2,184
HOUNSLOW,E09000018,Miscellaneous_Crimes,2012,2,204
ISLINGTON,E09000019,Miscellaneous_Crimes,2012,2,162
KENSINGTON AND CHELSEA,E09000020,Miscellaneous_Crimes,2012,2,91
KINGSTON UPON THAMES,E09000021,Miscellaneous_Crimes,2012,2,110
LAMBETH,E09000022,Miscellaneous_Crimes,2012,2,167
LEWISHAM,E09000023,Miscellaneous_Crimes,2012,2,213
MERTON,E09000024,Miscellaneous_Crimes,2012,2,120
